lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31046,Nafarroa Garaia,Barbarin,Barbarin,63,,,,,,,,,,,"0,0",,"2,33"
31047,Nafarroa Garaia,Bargota,Bargota,295,,,,,,,,,,,"0,0",,"3,97"
31048,Nafarroa Garaia,Barillas,Barillas,201,,,,,,,,,,,"0,0",,"1,54"
31049,Nafarroa Garaia,Basaburua,Basaburua,871,,,,,,,,,2017-06-18,,"0,0",,"81,83"
31050,Nafarroa Garaia,Baztan,Baztan,7.848,,,,,,,,,,,"0,0",,"84,25"
31051,Nafarroa Garaia,Beire,Beire,303,,,,,,,,,,,"0,0",,"5,82"
31052,Nafarroa Garaia,Beraskoain,Belascoáin,124,,,,,,,,,,,"37,0",,"7,87"
31053,Nafarroa Garaia,Berbintzana,Berbinzana,673,,,,,,,,,,,"0,0",,"7,53"
31054,Nafarroa Garaia,Bertizarana,Bertizarana,602,,,,,,,,,,,"0,0",,"84,24"
31055,Nafarroa Garaia,Betelu,Betelu,332,,,,,,,,,2017-06-18,,"11,9",,"91,10"
31056,Nafarroa Garaia,Biurrun-Olkotz,Biurrun-Olcoz,223,,,,,,,,,,,"35,3",,"9,19"
31057,Nafarroa Garaia,Buñuel,Buñuel,2.279,,,,,,,,,,,"0,0",,"0,41"
31058,Nafarroa Garaia,Auritz,Auritz/Burguete,260,,,,,,,,,,,"0,0",,"44,10"
31059,Nafarroa Garaia,Burgi,Burgui <> Burgi,229,,,,,,,,,,,"0,0",,"9,13"
31060,Nafarroa Garaia,Burlata,Burlada <> Burlata,18.237,,,,,,,,,,,"0,0",,"16,94"
31061,Nafarroa Garaia,El Busto,El Busto,70,,,,,,,,,,,"0,0",,"4,35"
31062,Nafarroa Garaia,Cabanillas,Cabanillas,1.429,,,,,,,,,,,"0,0",,"0,72"
31063,Nafarroa Garaia,Cabredo,Cabredo,102,,,,,,,,,,,"15,7",,"5,13"
31064,Nafarroa Garaia,Cadreita,Cadreita,2.046,,,,,,,,,,,"0,0",,"2,11"
31065,Nafarroa Garaia,Caparroso,Caparroso,2.794,,,,,,,,,,,"20,3",,"3,25"
31066,Nafarroa Garaia,Cárcar,Cárcar,1.081,,,,,,,,,,,"0,0",,"1,61"
