lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
20065,Gipuzkoa,Soraluze,Soraluze-Placencia de las Armas,3.991,,,,,,,,,,,"26,5"
20066,Gipuzkoa,Errezil,Errezil,594,,,,,,,,,,,"33,3"
20067,Gipuzkoa,Errenteria,Errenteria,39.230,,,,,,,,,2017-03-19,,"22,4"
20068,Gipuzkoa,Leintz Gatzaga,Leintz-Gatzaga,244,bai,100,5,2,0,204,107,"52,45",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"16,0"
20069,Gipuzkoa,Donostia,Donostia-San Sebastián,186.126,,,,,,,,,,,"18,2"
20070,Gipuzkoa,Segura,Segura,1.480,bai,644,33,3,6,1212,686,"56,6",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"10,6"
20071,Gipuzkoa,Tolosa,Tolosa,18.936,,,,,,,,,2017-03-19,,"16,3"
20072,Gipuzkoa,Urnieta,Urnieta,6.198,,,,,,,,,,,"20,4"
20073,Gipuzkoa,Usurbil,Usurbil,6.168,,,,,,,,,2017,,"11,9"
20074,Gipuzkoa,Bergara,Bergara,14.831,bai,3549,154,17,17,12684,3737,"29,46",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"15,8"
20075,Gipuzkoa,Villabona-Amasa,Villabona,5.888,,,,,,,,,2017-03-19,,"20,6"
20076,Gipuzkoa,Ordizia,Ordizia,9.803,bai,1786,84,14,10,8252,1894,"22,95",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"19,4"
20077,Gipuzkoa,Urretxu,Urretxu,6.890,bai,1127,42,7,1,5675,1177,"20,62",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"19,0"
20078,Gipuzkoa,Zaldibia,Zaldibia,1.558,bai,764,14,3,5,1187,786,"66,22",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"11,3"
20079,Gipuzkoa,Zarautz,Zarautz,22.890,,,,,,,,,,,"17,6"
20080,Gipuzkoa,Zumarraga,Zumarraga,9.950,bai,1104,30,5,1,8487,1144,"13,43",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"23,0"
20081,Gipuzkoa,Zumaia,Zumaia,9.734,,,,,,,,,2017,,"19,5"
20901,Gipuzkoa,Mendaro,Mendaro,1.998,,,,,,,,,,,"15,1"
20902,Gipuzkoa,Lasarte-Oria,Lasarte-Oria,18.082,,,,,,,,,,,"19,8"
20903,Gipuzkoa,Astigarraga,Astigarraga,5.535,,,,,,,,,,,"20,1"
20904,Gipuzkoa,Baliarrain,Baliarrain,130,,,,,,,,,2017-03-19,,"14,3"
20905,Gipuzkoa,Orendain,Orendain,193,,,,,,,,,2017-03-19,,"17,6"
20906,Gipuzkoa,Altzaga,Altzaga,165,bai,75,0,1,0,154,76,"49,35",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"12,5"
20907,Gipuzkoa,Gaztelu,Gaztelu,171,,,,,,,,,2017-03-19,,"25,0"
31001,Nafarroa Garaia,Abaigar,Abáigar,98,,,,,,,,,,,"0,0"
31002,Nafarroa Garaia,Abartzuza,Abárzuza <> Abartzuza,556,,,,,,,,,,,"0,0"
